timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
2847185231,2847185206,8944899,0.06998808,-0.14739957,0.43998098,3
2847597760,2847597713,8944899,0.080021605,-0.15549572,0.43629226,3
2848148224,2848148200,8944899,0.09099136,-0.14341964,0.43959388,3
2848698211,2848698190,8944899,0.111943424,-0.1624194,0.42835188,3
2849111385,2849110751,8944899,0.10990002,-0.15676703,0.43180534,3
2849660604,2849660575,8944899,0.122994155,-0.15087536,0.43092513,3
2850197945,2850141474,8944899,0.14964327,-0.15573555,0.42395875,3
2850623418,2850623393,8944899,0.13648787,-0.15785782,0.42671385,3
2851173224,2851173204,8944899,0.14167257,-0.1394678,0.43239033,3
2851585383,2851585346,8944899,0.12943488,-0.14316964,0.43315518,3
2852135458,2852135412,8944899,0.11158619,-0.13651383,0.4383563,3
2852684899,2852684874,8944899,0.15101528,-0.1432092,0.4267104,3
2853097285,2853097265,8944899,0.15826048,-0.13702928,0.42844042,3
2853647836,2853647812,8944899,0.14090532,-0.13285553,0.43356502,3
2854197359,2854197319,8944899,0.13863494,-0.13441709,0.43317187,3
2854610698,2854610672,8944899,0.13496359,-0.13639005,0.43365195,3
2855160336,2855160311,8944899,0.13341783,-0.1415388,0.4333857,3
2855697546,2855641578,8944899,0.13439322,-0.15952149,0.42561316,3
2856123240,2856123216,8944899,0.13794905,-0.15636046,0.42541176,3
2856673012,2856672991,8944899,0.13503009,-0.16917685,0.4214702,3
2857085281,2857085255,8944899,0.12910949,-0.15601055,0.4276623,3
2857636268,2857636247,8944899,0.12185665,-0.14124535,0.43552014,3
2858184932,2858184907,8944899,0.14464906,-0.1330953,0.43323836,3
2858597511,2858597491,8944899,0.15804589,-0.14678884,0.4254426,3
2859148198,2859148171,8944899,0.14211674,-0.1317739,0.43365806,3
2859697568,2859697549,8944899,0.1458155,-0.13856651,0.4304662,3
2860110012,2860109987,8944899,0.14748734,-0.15337248,0.4261649,3
2860660514,2860660489,8944899,0.14401558,-0.13300423,0.4322675,3
2861197733,2861141289,8944899,0.14318348,-0.13780098,0.43178424,3
2861622182,2861622158,8944899,0.14559796,-0.1454015,0.4292416,3
2862172501,2862172476,8944899,0.15405262,-0.1490129,0.42566237,3
2862585021,2862584994,8944899,0.15499271,-0.14262626,0.42571476,3
2863134852,2863134832,8944899,0.15585051,-0.13667153,0.4269317,3
2863685333,2863685308,8944899,0.14981328,-0.13755018,0.42830348,3
2864097567,2864097547,8944899,0.14462468,-0.13846174,0.42947257,3
2864647336,2864647306,8944899,0.14663024,-0.14230013,0.42774737,3
2865197513,2865197493,8944899,0.14395736,-0.14563212,0.42869,3
2865609892,2865609867,8944899,0.14517939,-0.14040329,0.43036768,3
2866159894,2866159869,8944899,0.14769556,-0.13571234,0.4318415,3
2866697320,2866641190,8944899,0.1422544,-0.14421074,0.42957488,3
2867122681,2867122656,8944899,0.14423613,-0.146663,0.42795035,3
2867672853,2867672832,8944899,0.14527047,-0.1382941,0.43069103,3
2868085262,2868085237,8944899,0.1489787,-0.13554503,0.43095383,3
2868635217,2868635197,8944899,0.15090051,-0.13797483,0.4302282,3
2869184897,2869184872,8944899,0.15540111,-0.14185931,0.4264728,3
2869597480,2869597460,8944899,0.15696959,-0.13866301,0.42713752,3
2870147521,2870147497,8944899,0.17930643,-0.14029591,0.4163964,3
2870697235,2870697215,8944899,0.19931361,-0.13747501,0.4145004,3
2871110266,2871110219,8944899,0.2520291,-0.10623814,0.39589024,3
2871660070,2871660046,8944899,0.22808355,-0.12931123,0.40346408,3
2872197489,2872141257,8944899,0.15963496,-0.16680351,0.41510424,3
2872622908,2872622882,8944899,0.071322024,-0.140791,0.44219133,3
2873172492,2873172472,8944899,0.0022406878,-0.11745322,0.4492192,3
2873584869,2873584844,8944899,-0.051427435,-0.12813805,0.4399196,3
2874135414,2874135394,8944899,-0.08968963,-0.14198634,0.42616427,3
2874684472,2874684447,8944899,-0.008197012,-0.19013518,0.42129126,3
2875097778,2875097758,8944899,0.04406581,-0.20449106,0.416044,3
2875647795,2875647769,8944899,0.086047925,-0.21835203,0.4054093,3
2876197748,2876197727,8944899,0.16923216,-0.17011407,0.41125283,3
2876610183,2876610159,8944899,0.21710466,-0.08702413,0.41982672,3
2877159778,2877159752,8944899,0.19994529,0.0037966121,0.4387786,3
2877697198,2877641244,8944899,0.20782316,0.049252715,0.43406287,3
2878122652,2878122627,8944899,0.16501084,0.082441114,0.44703084,3
2878672401,2878672376,8944899,0.1636015,0.056414764,0.44832277,3
2879085005,2879084977,8944899,0.16338585,0.06401342,0.4497961,3
2879634836,2879634816,8944899,0.1690277,0.0974291,0.4420982,3
2880185000,2880184974,8944899,0.17460822,0.098764926,0.43977726,3
2880597357,2880597337,8944899,0.17273627,0.10270984,0.44246012,3
2881147195,2881147142,8944899,0.19752996,0.08047162,0.4362287,3
2881697490,2881697470,8944899,0.18612899,0.1026747,0.43543586,3
2882109981,2882109957,8944899,0.18283398,0.11576237,0.4341515,3
2882659732,2882659707,8944899,0.17571628,0.110202104,0.4374276,3
2883197710,2883141220,8944899,0.17536044,0.107404664,0.43931752,3
2883622273,2883622247,8944899,0.16653967,0.098461315,0.44535217,3
2884171740,2884171720,8944899,0.17077015,0.10008941,0.44322315,3
2884584422,2884584394,8944899,0.17261651,0.10457892,0.44158036,3
2885134980,2885134961,8944899,0.16710721,0.10082282,0.44238764,3
2885684904,2885684879,8944899,0.17032407,0.10367145,0.44192284,3
2886097184,2886097164,8944899,0.1688315,0.10600658,0.4410039,3
2886647163,2886647138,8944899,0.17726605,0.1090765,0.43792236,3
2887196822,2887196802,8944899,0.18085246,0.097748324,0.43881387,3
2887609511,2887609486,8944899,0.19871598,0.07979922,0.43696293,3
2888160163,2888160136,8944899,0.21862955,0.04548945,0.43195054,3
2888696878,2888641079,8944899,0.26331463,0.0024310618,0.4085555,3
2889122463,2889122350,8944899,0.14134562,-0.043277964,0.45154592,3
2889671996,2889671953,8944899,0.1499683,-0.07008676,0.44753957,3
2890084655,2890084631,8944899,0.2013525,-0.059682637,0.43303475,3
2890634865,2890634845,8944899,0.17623094,-0.08504414,0.43738902,3
2891185466,2891185440,8944899,0.15904193,-0.08362913,0.44288653,3
2891597267,2891597247,8944899,0.1673018,-0.08686525,0.43931383,3
2892146759,2892146735,8944899,0.17441893,-0.09375238,0.43483946,3
2892697389,2892697369,8944899,0.18972999,-0.10116043,0.42926574,3
2893109718,2893109693,8944899,0.17042305,-0.13126053,0.42585754,3
2893660201,2893660176,8944899,0.12515855,-0.15921159,0.4280826,3
2894197496,2894141142,8944899,0.05929525,-0.18761784,0.42456976,3
2894621988,2894621964,8944899,0.007943444,-0.18837325,0.42322057,3
2895171953,2895171933,8944899,-0.04417239,-0.18882713,0.41841507,3
2895585009,2895584984,8944899,-0.034273032,-0.17879145,0.42467272,3
2896134525,2896134503,8944899,-0.074515894,-0.16155875,0.42247835,3
2896684763,2896684738,8944899,-0.088817604,-0.1620796,0.4192527,3
2897096959,2897096939,8944899,-0.07511051,-0.15822506,0.4247168,3
2897647598,2897647573,8944899,-0.06586144,-0.15835677,0.42699453,3
2898197137,2898197112,8944899,-0.06961946,-0.16084225,0.42460713,3
2898609243,2898609216,8944899,-0.05803666,-0.15004699,0.43214986,3
2899159276,2899159256,8944899,-0.052147027,-0.16779391,0.42554015,3
2899697053,2899640814,8944899,-0.075777344,-0.16119249,0.4229613,3
2900122423,2900122398,8944899,-0.08531879,-0.16038878,0.42041323,3
2900671974,2900671954,8944899,-0.091464266,-0.16242091,0.41841763,3
2901084215,2901084191,8944899,-0.040377993,-0.16109928,0.4300864,3
2901634743,2901634721,8944899,-0.023249472,-0.20229091,0.41426098,3
2902184266,2902184242,8944899,0.013228804,-0.20774344,0.41344127,3
2902596728,2902596708,8944899,0.027767545,-0.20768303,0.415,3
2903146754,2903146730,8944899,0.0818804,-0.19175385,0.41978395,3
2903696758,2903696738,8944899,0.10668336,-0.20649004,0.409581,3
2904110017,2904109992,8944899,0.19493686,-0.17561892,0.3988422,3
2904659361,2904659312,8944899,0.20001063,-0.16106656,0.40412682,3
2905197153,2905140739,8944899,0.19629984,-0.14987968,0.4101207,3
2905621938,2905621912,8944899,0.2131514,-0.12475627,0.41131175,3
2906172411,2906172385,8944899,0.2212811,-0.13027385,0.40764433,3
2906584931,2906584907,8944899,0.16873677,-0.1217148,0.42971537,3
2907134345,2907134297,8944899,0.20060924,-0.12788957,0.41706264,3
2907684285,2907684260,8944899,0.09243777,-0.12476264,0.4437025,3
2908096807,2908096756,8944899,0.08212227,-0.13396636,0.4414886,3
2908646660,2908646635,8944899,0.04101384,-0.13167742,0.44554538,3
2909197277,2909197257,8944899,0.07577389,-0.13375326,0.44478598,3
2909609667,2909609641,8944899,0.09189515,-0.13808353,0.44078848,3
