timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2775285984,2775285640,-0.98094803,0.0062256693,-0.0011325947,0.19416723,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775336011,2775335516,-0.9805712,0.00087602,-0.004681315,0.1961059,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775386021,2775385683,-0.9800712,-0.002764992,-0.008371868,0.19845085,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775435921,2775435664,-0.97953224,-0.0062064356,-0.010080321,0.20093925,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775485974,2775485641,-0.9791268,-0.007481287,-0.009454773,0.20289257,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775535992,2775535641,-0.9787012,-0.0083015105,-0.0075085885,0.20498475,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775585985,2775585641,-0.97840184,-0.008589062,-0.005497222,0.20646039,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775635991,2775635642,-0.9780913,-0.009281156,-0.0025401074,0.20795435,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775689843,2775685934,-0.97780144,-0.011478159,0.0007546429,0.20921768,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775736053,2775735556,-0.97753495,-0.013413806,0.0022203326,0.2103345,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775785987,2775785641,-0.9772974,-0.012801897,0.0013395487,0.21148062,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775830978,2775830640,-0.9771645,-0.009698765,-0.0010463283,0.21226041,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775886038,2775885516,-0.97702694,-0.004272137,-0.003447986,0.21304552,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775935983,2775935641,-0.9769938,-0.0006371078,-0.004453472,0.21322058,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775981128,2775980555,-0.9769579,0.0018362544,-0.004513859,0.21337663,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776035988,2776035516,-0.97700965,0.0026337823,-0.0045565697,0.21313027,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776086084,2776085682,-0.97708833,0.002198759,-0.0045456337,0.21277422,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776136008,2776135640,-0.9772135,0.0008503139,-0.004518828,0.21220925,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776185982,2776185641,-0.9772864,7.453859e-05,-0.004853799,0.21186726,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776236063,2776235640,-0.9774341,-0.00030381282,-0.0050378614,0.21118054,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776280991,2776280641,-0.9775973,-0.0021100014,-0.004787691,0.21041918,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776335980,2776335642,-0.9778038,-0.003748559,-0.0041208826,0.209449,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776385964,2776385641,-0.9780132,-0.0035698279,-0.0036679222,0.20848013,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776430980,2776430516,-0.9782542,-0.002076864,-0.003683091,0.20736688,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776486008,2776485641,-0.97853506,-0.00021257327,-0.004629476,0.20602804,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776535999,2776535641,-0.97874063,0.0015962442,-0.0051803007,0.20503077,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776586132,2776585787,-0.97896683,0.002514921,-0.005285159,0.20393586,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776635993,2776635641,-0.9792253,0.0029463826,-0.0062006908,0.20265952,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776686018,2776685518,-0.9794321,0.0047584088,-0.0073506865,0.2015842,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776739785,2776735760,-0.9796535,0.005133759,-0.008830468,0.20043671,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776786009,2776785556,-0.979814,0.0057767592,-0.010170093,0.1995692,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
