t,x,y
5476000,0.7360893711371516,12.593494163867987
5496000,0.7468816736207351,12.578510195239598
5516000,0.7582120041614786,12.563475430533094
5536000,0.7700862488206097,12.54839249866577
5556000,0.7825081570996845,12.533274618422233
5576000,0.7954677062456007,12.51812515708574
5596000,0.80897072853687,12.502947454838479
5616000,0.8230152099423564,12.487742730885694
5636000,0.8375893521221844,12.472515513953972
5656000,0.8526809389831959,12.457269143034269
5680000,0.8682879349364445,12.44200494156877
5700000,0.8876329704915751,12.423669085571618
5716000,0.9043632148095904,12.408373306600929
5736000,0.9181560216382416,12.396134098707583
5756000,0.9357999043284239,12.38082874503009
5776000,0.9539429425324147,12.365511737457428
5796000,0.9725891779050393,12.350189881034666
5816000,0.9917400291039343,12.334870574058584
5840000,1.0113989008537483,12.31954862080255
5856000,1.0355977034784862,12.301165576642493
5876000,1.0522167385186398,12.28891489240393
5896000,1.0734059528495996,12.273604386642896
5916000,1.0951109099101697,12.258302743281945
5936000,1.117333380225984,12.243016154793368
5956000,1.1400792864324971,12.227743843098274
5976000,1.1633489895960616,12.212484186615095
5996000,1.187152350287844,12.197250471500494
6020000,1.2114786684744063,12.182040168033907
6036000,1.2412986119362863,12.163817057655418
6056000,1.2616911651558724,12.15169619581926
6076000,1.287611641486433,12.136573969010486
6096000,1.314075752326497,12.121491684800851
6116000,1.3410867874799637,12.106445536144097
6136000,1.3686422996517227,12.091436855511082
6156000,1.3967372819506314,12.076461822120692
6176000,1.4253843041238972,12.061525090377065
6196000,1.4545839235197902,12.046625650463163
6220000,1.4843240698381954,12.031759644753652
6236000,1.5206579196911139,12.013957287981677
6256000,1.5453891728961986,12.002123308317326
6280000,1.5767273174054444,11.987362005866169
6296000,1.6149634869262421,11.969693841902991
6316000,1.6409555389443629,11.957963233938315
6336000,1.673857233938465,11.943341007427295
6356000,1.7072706175514603,11.92877060249374
6376000,1.7411911637471726,11.91424861146389
6400000,1.7756176745338814,11.899780592450817
6416000,1.81753216762358,11.882479140641047
6436000,1.8459544086813848,11.870996629947948
6456000,1.881873625530431,11.85668860991157
6476000,1.9182917283159282,11.842434495945062
6500000,1.9552154213058421,11.828241376678228
6520000,2.0001327383746816,11.811289851369454
6536000,2.0381747292102737,11.79724082401259
6556000,2.069010753735823,11.786066076061154
6576000,2.107958390470128,11.772151961027493
6600000,2.1474111844682886,11.75830578586686
6616000,2.1953700696256835,11.741764897006773
6640000,2.227836267052559,11.730798564049914
6656000,2.277025777959617,11.714404939749695
6676000,2.310310542981201,11.703532756624305
6700000,2.3523213586935876,11.689995590894585
6716000,2.4033321453063494,11.673836674060968
6736000,2.43781806522146,11.663138124824826
6760000,2.481318758505617,11.64982262286281
6780000,2.534106264512797,11.633937256180829
6800000,2.5786846377538106,11.620785262546425
6816000,2.6237465273313596,11.607704641458204
6836000,2.6601788541240907,11.597290068492578
6856000,2.706099842970145,11.584330802317584
6876000,2.7524951744280677,11.57145271676852
6896000,2.799346574085268,11.558642986813048
6916000,2.846650025154624,11.545896769186566
6936000,2.8944116692781208,11.53320824865748
6960000,2.942620543267502,11.520576372205472
6976000,3.0009997006795013,11.505490149209054
6996000,3.0403368765936203,11.495489802441774
7020000,3.0898585974340214,11.483035960488866
7036000,3.1498092947669067,11.468168584527827
7056000,3.1901895999137486,11.45831633230061
7080000,3.241019207812634,11.44604723459445
7100000,3.302549296874891,11.43138861338144
7116000,3.354363649578575,11.419242670480802
7136000,3.396173307797558,11.40957134479895
7156000,3.4487972901958033,11.397526251699968
7176000,3.5018808112411723,11.385541692667395
7200000,3.5554176260640395,11.373619001696314
7216000,3.6202008942109978,11.359377779514393
7236000,3.663819679693699,11.349934574580539
7256000,3.718707971565096,11.338173165876698
7276000,3.774039405052758,11.3264790769349
7296000,3.8298019076267966,11.314851576529579
7316000,3.885993112855968,11.30328002755595
7340000,3.942607817940222,11.291762820309549
7356000,4.0110491657421266,11.27800717238272
7380000,4.057084502253569,11.268889699764072
7396000,4.1265353676890895,11.25526749041342
7416000,4.173226417956118,11.246238120960301
7436000,4.231910013454982,11.234995859932846
7456000,4.290985769452005,11.223809648462884
7476000,4.350451476880915,11.212681241254192
7496000,4.41030750525565,11.20160995913656
7516000,4.470548331479897,11.190581062199673
7536000,4.531175656648903,11.17958839856944
7556000,4.592179912367674,11.168634105130744
7576000,4.6535584086258135,11.157718237243309
7600000,4.715310106591672,11.146845738083073
7616000,4.789854337353419,11.13384747170228
